Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds,Team 1 line,Team 2 line
2024-04-14,1:37 PM EDT,COL,TOR,-130,+100,4.5,4.5
2024-04-14,1:40 PM EDT,KC,NYM,+105,-135,4.5,4.5
2024-04-14,1:40 PM EDT,ATL,MIA,+100,-130,4.5,4.5
2024-04-14,1:40 PM EDT,MIN,DET,+100,-130,4.5,4.5
2024-04-14,1:40 PM EDT,SF,TB,-130,+100,4,4
2024-04-14,1:40 PM EDT,NYY,CLE,-130,+100,4.5,4.5
2024-04-14,2:10 PM EDT,CIN,CHW,+100,-130,5,5
2024-04-14,2:10 PM EDT,TEX,HOU,-125,-105,4.5,4.5
2024-04-14,4:07 PM EDT,WAS,ATH,-115,-115,3.5,3.5
2024-04-14,4:10 PM EDT,CHC,SEA,-125,-105,2.5,2.5
2024-04-14,4:10 PM EDT,STL,AZ,+100,-130,2.5,2.5
2024-04-14,7:10 PM EDT,SD,LAD,+115,-145,2.5,2.5
2024-04-15,11:10 AM EDT,CLE,BOS,+115,-145,1.5,1.5
2024-04-15,6:35 PM EDT,MIN,BAL,+100,-130,5,5
2024-04-15,6:40 PM EDT,TEX,DET,-130,+100,4.5,4.5
2024-04-15,6:40 PM EDT,COL,PHI,-130,+100,4.5,4.5
2024-04-15,6:40 PM EDT,SF,MIA,-135,+105,4.5,4.5
2024-04-15,6:50 PM EDT,LAA,TB,-125,-105,4.5,4.5
2024-04-15,7:07 PM EDT,NYY,TOR,-120,-110,4.5,4.5
2024-04-15,7:10 PM EDT,PIT,NYM,-135,+105,4.5,4.5
2024-04-15,7:40 PM EDT,KC,CHW,-105,-125,4,4
2024-04-15,7:40 PM EDT,SD,MIL,-115,-115,4.5,4.5
2024-04-15,8:10 PM EDT,ATL,HOU,-125,-105,5.5,5.5
2024-04-15,9:40 PM EDT,CHC,AZ,-130,+100,4.5,4.5
2024-04-15,9:40 PM EDT,STL,ATH,+105,-135,4.5,4.5
2024-04-15,9:42 PM EDT,CIN,SEA,+110,-141,4,4
2024-04-15,10:10 PM EDT,WAS,LAD,-125,-105,4.5,4.5
2024-04-17,12:10 PM EDT,SF,MIA,-149,+120,1.5,1.5
2024-04-17,1:05 PM EDT,MIN,BAL,+100,-130,4.5,4.5
2024-04-17,1:10 PM EDT,SD,MIL,-105,-125,4.5,4.5
